id	year	start_date	curr_date	subtract_year
152	1991	1991-01-01	2024-05-11	33
153	1992	1992-01-01	2024-05-11	32
154	1993	1993-01-01	2024-05-11	31
155	1994	1994-01-01	2024-05-11	30
156	1995	1995-01-01	2024-05-11	29
157	1996	1996-01-01	2024-05-11	28
158	1997	1997-01-01	2024-05-11	27
159	1998	1998-01-01	2024-05-11	26
160	1999	1999-01-01	2024-05-11	25
161	2000	2000-01-01	2024-05-11	24
162	2001	2001-01-01	2024-05-11	23
163	2002	2002-01-01	2024-05-11	22
164	2003	2003-01-01	2024-05-11	21
165	2004	2004-01-01	2024-05-11	20
166	2005	2005-01-01	2024-05-11	19
167	2006	2006-01-01	2024-05-11	18
168	2007	2007-01-01	2024-05-11	17
169	2008	2008-01-01	2024-05-11	16
170	2009	2009-01-01	2024-05-11	15
171	2010	2010-01-01	2024-05-11	14
172	2011	2011-01-01	2024-05-11	13
173	2012	2012-01-01	2024-05-11	12
174	2013	2013-01-01	2024-05-11	11
175	2014	2014-01-01	2024-05-11	10
176	2015	2015-01-01	2024-05-11	9
177	2016	2016-01-01	2024-05-11	8
178	2017	2017-01-01	2024-05-11	7
179	2018	2018-01-01	2024-05-11	6
180	2019	2019-01-01	2024-05-11	5
181	2020	2020-01-01	2024-05-11	4
182	1980	1980-01-01	2024-05-11	44
183	1981	1981-01-01	2024-05-11	43
184	1982	1982-01-01	2024-05-11	42
185	1983	1983-01-01	2024-05-11	41
186	1984	1984-01-01	2024-05-11	40
187	1985	1985-01-01	2024-05-11	39
188	1986	1986-01-01	2024-05-11	38
189	1987	1987-01-01	2024-05-11	37
190	1988	1988-01-01	2024-05-11	36
191	1989	1989-01-01	2024-05-11	35
192	1990	1990-01-01	2024-05-11	34
193	1991	1991-01-01	2024-05-11	33
194	1992	1992-01-01	2024-05-11	32
195	1993	1993-01-01	2024-05-11	31
196	1994	1994-01-01	2024-05-11	30
197	1995	1995-01-01	2024-05-11	29
198	1996	1996-01-01	2024-05-11	28
199	1997	1997-01-01	2024-05-11	27
200	1998	1998-01-01	2024-05-11	26
201	1999	1999-01-01	2024-05-11	25
202	2000	2000-01-01	2024-05-11	24
203	2001	2001-01-01	2024-05-11	23
204	2002	2002-01-01	2024-05-11	22
205	2003	2003-01-01	2024-05-11	21
206	2004	2004-01-01	2024-05-11	20
207	2005	2005-01-01	2024-05-11	19
208	2006	2006-01-01	2024-05-11	18
209	2007	2007-01-01	2024-05-11	17
210	2008	2008-01-01	2024-05-11	16
211	2010	2010-01-01	2024-05-11	14
212	1980	1980-01-01	2024-05-11	44
213	1981	1981-01-01	2024-05-11	43
214	1982	1982-01-01	2024-05-11	42
215	1983	1983-01-01	2024-05-11	41
216	1984	1984-01-01	2024-05-11	40
217	1985	1985-01-01	2024-05-11	39
218	1986	1986-01-01	2024-05-11	38
219	1987	1987-01-01	2024-05-11	37
220	1988	1988-01-01	2024-05-11	36
221	1989	1989-01-01	2024-05-11	35
222	1990	1990-01-01	2024-05-11	34
223	1991	1991-01-01	2024-05-11	33
224	1992	1992-01-01	2024-05-11	32
225	1993	1993-01-01	2024-05-11	31
226	1994	1994-01-01	2024-05-11	30
227	1995	1995-01-01	2024-05-11	29
228	1996	1996-01-01	2024-05-11	28
229	1997	1997-01-01	2024-05-11	27
230	1998	1998-01-01	2024-05-11	26
231	1999	1999-01-01	2024-05-11	25
232	2000	2000-01-01	2024-05-11	24
233	2001	2001-01-01	2024-05-11	23
234	2002	2002-01-01	2024-05-11	22
235	2003	2003-01-01	2024-05-11	21
236	2004	2004-01-01	2024-05-11	20
237	2005	2005-01-01	2024-05-11	19
238	2006	2006-01-01	2024-05-11	18
239	2007	2007-01-01	2024-05-11	17
240	2008	2008-01-01	2024-05-11	16
241	2009	2009-01-01	2024-05-11	15
242	2010	2010-01-01	2024-05-11	14
243	2011	2011-01-01	2024-05-11	13
244	2012	2012-01-01	2024-05-11	12
245	2013	2013-01-01	2024-05-11	11
246	2014	2014-01-01	2024-05-11	10
247	2015	2015-01-01	2024-05-11	9
248	2016	2016-01-01	2024-05-11	8
249	2017	2017-01-01	2024-05-11	7
250	2018	2018-01-01	2024-05-11	6
251	2019	2019-01-01	2024-05-11	5
252	2020	2020-01-01	2024-05-11	4
253	1991	1991-01-01	2024-05-11	33
254	1992	1992-01-01	2024-05-11	32
255	1993	1993-01-01	2024-05-11	31
256	1994	1994-01-01	2024-05-11	30
257	1995	1995-01-01	2024-05-11	29
258	1996	1996-01-01	2024-05-11	28
259	1997	1997-01-01	2024-05-11	27
260	1998	1998-01-01	2024-05-11	26
261	1999	1999-01-01	2024-05-11	25
262	2000	2000-01-01	2024-05-11	24
263	2001	2001-01-01	2024-05-11	23
264	2002	2002-01-01	2024-05-11	22
265	2003	2003-01-01	2024-05-11	21
266	2004	2004-01-01	2024-05-11	20
267	2005	2005-01-01	2024-05-11	19
268	2006	2006-01-01	2024-05-11	18
269	2007	2007-01-01	2024-05-11	17
270	2008	2008-01-01	2024-05-11	16
271	2009	2009-01-01	2024-05-11	15
272	2010	2010-01-01	2024-05-11	14
273	2011	2011-01-01	2024-05-11	13
274	2012	2012-01-01	2024-05-11	12
275	2013	2013-01-01	2024-05-11	11
276	2014	2014-01-01	2024-05-11	10
277	2015	2015-01-01	2024-05-11	9
278	2016	2016-01-01	2024-05-11	8
279	2017	2017-01-01	2024-05-11	7
280	2018	2018-01-01	2024-05-11	6
281	2019	2019-01-01	2024-05-11	5
282	2020	2020-01-01	2024-05-11	4
283	1980	1980-01-01	2024-05-11	44
284	1981	1981-01-01	2024-05-11	43
285	1982	1982-01-01	2024-05-11	42
286	1983	1983-01-01	2024-05-11	41
287	1984	1984-01-01	2024-05-11	40
288	1985	1985-01-01	2024-05-11	39
289	1986	1986-01-01	2024-05-11	38
290	1987	1987-01-01	2024-05-11	37
291	1988	1988-01-01	2024-05-11	36
292	1989	1989-01-01	2024-05-11	35
293	1990	1990-01-01	2024-05-11	34
294	1991	1991-01-01	2024-05-11	33
295	1992	1992-01-01	2024-05-11	32
296	1993	1993-01-01	2024-05-11	31
297	1994	1994-01-01	2024-05-11	30
298	1995	1995-01-01	2024-05-11	29
299	1996	1996-01-01	2024-05-11	28
300	1997	1997-01-01	2024-05-11	27
301	1998	1998-01-01	2024-05-11	26
302	1999	1999-01-01	2024-05-11	25
303	2000	2000-01-01	2024-05-11	24
304	2001	2001-01-01	2024-05-11	23
305	2002	2002-01-01	2024-05-11	22
306	2003	2003-01-01	2024-05-11	21
307	2004	2004-01-01	2024-05-11	20
308	2005	2005-01-01	2024-05-11	19
309	2006	2006-01-01	2024-05-11	18
310	2007	2007-01-01	2024-05-11	17
311	2008	2008-01-01	2024-05-11	16
312	2009	2009-01-01	2024-05-11	15
313	2010	2010-01-01	2024-05-11	14
314	2011	2011-01-01	2024-05-11	13
315	2012	2012-01-01	2024-05-11	12
316	2013	2013-01-01	2024-05-11	11
317	2014	2014-01-01	2024-05-11	10
318	2015	2015-01-01	2024-05-11	9
319	2016	2016-01-01	2024-05-11	8
320	2017	2017-01-01	2024-05-11	7
321	2018	2018-01-01	2024-05-11	6
322	2019	2019-01-01	2024-05-11	5
323	2020	2020-01-01	2024-05-11	4
324	1980	1980-01-01	2024-05-11	44
325	1981	1981-01-01	2024-05-11	43
326	1982	1982-01-01	2024-05-11	42
327	1983	1983-01-01	2024-05-11	41
328	1984	1984-01-01	2024-05-11	40
329	1985	1985-01-01	2024-05-11	39
330	1986	1986-01-01	2024-05-11	38
331	1987	1987-01-01	2024-05-11	37
332	1988	1988-01-01	2024-05-11	36
333	1989	1989-01-01	2024-05-11	35
334	1990	1990-01-01	2024-05-11	34
335	1991	1991-01-01	2024-05-11	33
336	1992	1992-01-01	2024-05-11	32
337	1993	1993-01-01	2024-05-11	31
338	1994	1994-01-01	2024-05-11	30
339	1995	1995-01-01	2024-05-11	29
340	1996	1996-01-01	2024-05-11	28
341	1997	1997-01-01	2024-05-11	27
342	1998	1998-01-01	2024-05-11	26
343	1999	1999-01-01	2024-05-11	25
344	2000	2000-01-01	2024-05-11	24
345	2001	2001-01-01	2024-05-11	23
346	2002	2002-01-01	2024-05-11	22
347	2003	2003-01-01	2024-05-11	21
348	2004	2004-01-01	2024-05-11	20
349	2005	2005-01-01	2024-05-11	19
350	2006	2006-01-01	2024-05-11	18
351	2007	2007-01-01	2024-05-11	17
352	2008	2008-01-01	2024-05-11	16
353	2009	2009-01-01	2024-05-11	15
354	2010	2010-01-01	2024-05-11	14
355	2011	2011-01-01	2024-05-11	13
356	2012	2012-01-01	2024-05-11	12
357	2013	2013-01-01	2024-05-11	11
358	2014	2014-01-01	2024-05-11	10
359	2015	2015-01-01	2024-05-11	9
360	2016	2016-01-01	2024-05-11	8
361	2017	2017-01-01	2024-05-11	7
362	2018	2018-01-01	2024-05-11	6
363	2019	2019-01-01	2024-05-11	5
364	2020	2020-01-01	2024-05-11	4
365	1991	1991-01-01	2024-05-11	33
366	1992	1992-01-01	2024-05-11	32
367	1993	1993-01-01	2024-05-11	31
368	1994	1994-01-01	2024-05-11	30
369	1995	1995-01-01	2024-05-11	29
370	1996	1996-01-01	2024-05-11	28
371	1997	1997-01-01	2024-05-11	27
372	1998	1998-01-01	2024-05-11	26
373	1999	1999-01-01	2024-05-11	25
374	2000	2000-01-01	2024-05-11	24
375	2001	2001-01-01	2024-05-11	23
376	2002	2002-01-01	2024-05-11	22
377	2003	2003-01-01	2024-05-11	21
378	2004	2004-01-01	2024-05-11	20
379	2005	2005-01-01	2024-05-11	19
380	2006	2006-01-01	2024-05-11	18
381	2007	2007-01-01	2024-05-11	17
382	2008	2008-01-01	2024-05-11	16
383	2009	2009-01-01	2024-05-11	15
384	2010	2010-01-01	2024-05-11	14
385	2011	2011-01-01	2024-05-11	13
386	2012	2012-01-01	2024-05-11	12
387	2013	2013-01-01	2024-05-11	11
388	2014	2014-01-01	2024-05-11	10
389	2015	2015-01-01	2024-05-11	9
390	2016	2016-01-01	2024-05-11	8
391	2017	2017-01-01	2024-05-11	7
392	2018	2018-01-01	2024-05-11	6
393	2019	2019-01-01	2024-05-11	5
394	2020	2020-01-01	2024-05-11	4
395	1980	1980-01-01	2024-05-11	44
396	1981	1981-01-01	2024-05-11	43
397	1982	1982-01-01	2024-05-11	42
398	1983	1983-01-01	2024-05-11	41
399	1984	1984-01-01	2024-05-11	40
400	1985	1985-01-01	2024-05-11	39
401	1986	1986-01-01	2024-05-11	38
402	1987	1987-01-01	2024-05-11	37
403	1988	1988-01-01	2024-05-11	36
404	1989	1989-01-01	2024-05-11	35
405	1990	1990-01-01	2024-05-11	34
406	1991	1991-01-01	2024-05-11	33
407	1992	1992-01-01	2024-05-11	32
408	1993	1993-01-01	2024-05-11	31
409	1994	1994-01-01	2024-05-11	30
410	1995	1995-01-01	2024-05-11	29
411	1996	1996-01-01	2024-05-11	28
412	1997	1997-01-01	2024-05-11	27
413	1998	1998-01-01	2024-05-11	26
414	1999	1999-01-01	2024-05-11	25
415	2000	2000-01-01	2024-05-11	24
416	2001	2001-01-01	2024-05-11	23
417	2002	2002-01-01	2024-05-11	22
418	2003	2003-01-01	2024-05-11	21
419	2004	2004-01-01	2024-05-11	20
420	2005	2005-01-01	2024-05-11	19
421	2006	2006-01-01	2024-05-11	18
422	2007	2007-01-01	2024-05-11	17
423	2008	2008-01-01	2024-05-11	16
424	2010	2010-01-01	2024-05-11	14
425	1980	1980-01-01	2024-05-11	44
426	1981	1981-01-01	2024-05-11	43
427	1982	1982-01-01	2024-05-11	42
428	1983	1983-01-01	2024-05-11	41
429	1984	1984-01-01	2024-05-11	40
430	1985	1985-01-01	2024-05-11	39
431	1986	1986-01-01	2024-05-11	38
432	1987	1987-01-01	2024-05-11	37
433	1988	1988-01-01	2024-05-11	36
434	1989	1989-01-01	2024-05-11	35
435	1990	1990-01-01	2024-05-11	34
436	1991	1991-01-01	2024-05-11	33
437	1992	1992-01-01	2024-05-11	32
438	1993	1993-01-01	2024-05-11	31
439	1994	1994-01-01	2024-05-11	30
440	1995	1995-01-01	2024-05-11	29
441	1996	1996-01-01	2024-05-11	28
442	1997	1997-01-01	2024-05-11	27
443	1998	1998-01-01	2024-05-11	26
444	1999	1999-01-01	2024-05-11	25
445	2000	2000-01-01	2024-05-11	24
446	2001	2001-01-01	2024-05-11	23
447	2002	2002-01-01	2024-05-11	22
448	2003	2003-01-01	2024-05-11	21
449	2004	2004-01-01	2024-05-11	20
450	2005	2005-01-01	2024-05-11	19
