id	year	start_date	curr_date	subtract_year
664	2004	2004-01-01	2024-05-11	20
665	2005	2005-01-01	2024-05-11	19
666	2006	2006-01-01	2024-05-11	18
667	2007	2007-01-01	2024-05-11	17
668	2008	2008-01-01	2024-05-11	16
669	2009	2009-01-01	2024-05-11	15
670	2011	2011-01-01	2024-05-11	13
671	2013	2013-01-01	2024-05-11	11
672	2014	2014-01-01	2024-05-11	10
673	2015	2015-01-01	2024-05-11	9
674	2016	2016-01-01	2024-05-11	8
675	2017	2017-01-01	2024-05-11	7
676	2018	2018-01-01	2024-05-11	6
677	2019	2019-01-01	2024-05-11	5
678	2020	2020-01-01	2024-05-11	4
679	1980	1980-01-01	2024-05-11	44
680	1981	1981-01-01	2024-05-11	43
681	1982	1982-01-01	2024-05-11	42
682	1984	1984-01-01	2024-05-11	40
683	1985	1985-01-01	2024-05-11	39
684	1986	1986-01-01	2024-05-11	38
685	1987	1987-01-01	2024-05-11	37
686	1988	1988-01-01	2024-05-11	36
687	1989	1989-01-01	2024-05-11	35
688	1990	1990-01-01	2024-05-11	34
689	1991	1991-01-01	2024-05-11	33
690	1992	1992-01-01	2024-05-11	32
691	1993	1993-01-01	2024-05-11	31
692	1994	1994-01-01	2024-05-11	30
693	1995	1995-01-01	2024-05-11	29
694	1997	1997-01-01	2024-05-11	27
695	1998	1998-01-01	2024-05-11	26
696	1999	1999-01-01	2024-05-11	25
697	2000	2000-01-01	2024-05-11	24
698	2001	2001-01-01	2024-05-11	23
699	2002	2002-01-01	2024-05-11	22
700	2003	2003-01-01	2024-05-11	21
701	2004	2004-01-01	2024-05-11	20
702	2005	2005-01-01	2024-05-11	19
703	2006	2006-01-01	2024-05-11	18
704	2007	2007-01-01	2024-05-11	17
705	2008	2008-01-01	2024-05-11	16
706	2009	2009-01-01	2024-05-11	15
707	2010	2010-01-01	2024-05-11	14
708	2011	2011-01-01	2024-05-11	13
709	2012	2012-01-01	2024-05-11	12
710	2013	2013-01-01	2024-05-11	11
711	2014	2014-01-01	2024-05-11	10
712	2015	2015-01-01	2024-05-11	9
713	2016	2016-01-01	2024-05-11	8
714	2017	2017-01-01	2024-05-11	7
715	2018	2018-01-01	2024-05-11	6
716	2019	2019-01-01	2024-05-11	5
717	2020	2020-01-01	2024-05-11	4
718	1980	1980-01-01	2024-05-11	44
719	1981	1981-01-01	2024-05-11	43
720	1982	1982-01-01	2024-05-11	42
721	1983	1983-01-01	2024-05-11	41
722	1984	1984-01-01	2024-05-11	40
723	1985	1985-01-01	2024-05-11	39
724	1986	1986-01-01	2024-05-11	38
725	1987	1987-01-01	2024-05-11	37
726	1988	1988-01-01	2024-05-11	36
727	1989	1989-01-01	2024-05-11	35
728	1990	1990-01-01	2024-05-11	34
729	1991	1991-01-01	2024-05-11	33
730	1992	1992-01-01	2024-05-11	32
731	1993	1993-01-01	2024-05-11	31
732	1994	1994-01-01	2024-05-11	30
733	1995	1995-01-01	2024-05-11	29
734	1996	1996-01-01	2024-05-11	28
735	1997	1997-01-01	2024-05-11	27
736	1998	1998-01-01	2024-05-11	26
737	1999	1999-01-01	2024-05-11	25
738	2000	2000-01-01	2024-05-11	24
739	2001	2001-01-01	2024-05-11	23
740	2002	2002-01-01	2024-05-11	22
741	2003	2003-01-01	2024-05-11	21
742	2004	2004-01-01	2024-05-11	20
743	2005	2005-01-01	2024-05-11	19
744	2006	2006-01-01	2024-05-11	18
745	2007	2007-01-01	2024-05-11	17
746	2008	2008-01-01	2024-05-11	16
747	2009	2009-01-01	2024-05-11	15
748	2010	2010-01-01	2024-05-11	14
749	2011	2011-01-01	2024-05-11	13
750	2012	2012-01-01	2024-05-11	12
751	2013	2013-01-01	2024-05-11	11
752	2014	2014-01-01	2024-05-11	10
753	2015	2015-01-01	2024-05-11	9
754	2016	2016-01-01	2024-05-11	8
755	2017	2017-01-01	2024-05-11	7
756	2018	2018-01-01	2024-05-11	6
757	2019	2019-01-01	2024-05-11	5
758	2020	2020-01-01	2024-05-11	4
759	1991	1991-01-01	2024-05-11	33
760	1992	1992-01-01	2024-05-11	32
761	1993	1993-01-01	2024-05-11	31
762	1994	1994-01-01	2024-05-11	30
763	1995	1995-01-01	2024-05-11	29
764	1996	1996-01-01	2024-05-11	28
765	1997	1997-01-01	2024-05-11	27
766	1998	1998-01-01	2024-05-11	26
767	1999	1999-01-01	2024-05-11	25
768	2000	2000-01-01	2024-05-11	24
769	2001	2001-01-01	2024-05-11	23
770	2002	2002-01-01	2024-05-11	22
771	2003	2003-01-01	2024-05-11	21
772	2004	2004-01-01	2024-05-11	20
773	2005	2005-01-01	2024-05-11	19
774	2006	2006-01-01	2024-05-11	18
775	2007	2007-01-01	2024-05-11	17
776	2008	2008-01-01	2024-05-11	16
777	2009	2009-01-01	2024-05-11	15
778	2010	2010-01-01	2024-05-11	14
779	2011	2011-01-01	2024-05-11	13
780	2012	2012-01-01	2024-05-11	12
781	2013	2013-01-01	2024-05-11	11
782	2014	2014-01-01	2024-05-11	10
783	2015	2015-01-01	2024-05-11	9
784	2016	2016-01-01	2024-05-11	8
785	2017	2017-01-01	2024-05-11	7
786	2018	2018-01-01	2024-05-11	6
787	2019	2019-01-01	2024-05-11	5
788	2020	2020-01-01	2024-05-11	4
789	1980	1980-01-01	2024-05-11	44
790	1981	1981-01-01	2024-05-11	43
791	1982	1982-01-01	2024-05-11	42
792	1983	1983-01-01	2024-05-11	41
793	1984	1984-01-01	2024-05-11	40
794	1985	1985-01-01	2024-05-11	39
795	1986	1986-01-01	2024-05-11	38
796	1987	1987-01-01	2024-05-11	37
797	1988	1988-01-01	2024-05-11	36
798	1989	1989-01-01	2024-05-11	35
799	1990	1990-01-01	2024-05-11	34
800	1991	1991-01-01	2024-05-11	33
801	1992	1992-01-01	2024-05-11	32
802	1993	1993-01-01	2024-05-11	31
803	1994	1994-01-01	2024-05-11	30
804	1995	1995-01-01	2024-05-11	29
805	1996	1996-01-01	2024-05-11	28
806	1997	1997-01-01	2024-05-11	27
807	1998	1998-01-01	2024-05-11	26
808	1999	1999-01-01	2024-05-11	25
809	2000	2000-01-01	2024-05-11	24
810	2001	2001-01-01	2024-05-11	23
811	2002	2002-01-01	2024-05-11	22
812	2003	2003-01-01	2024-05-11	21
813	2004	2004-01-01	2024-05-11	20
814	2005	2005-01-01	2024-05-11	19
815	2006	2006-01-01	2024-05-11	18
816	2007	2007-01-01	2024-05-11	17
817	2008	2008-01-01	2024-05-11	16
818	2009	2009-01-01	2024-05-11	15
819	2010	2010-01-01	2024-05-11	14
820	2011	2011-01-01	2024-05-11	13
821	2012	2012-01-01	2024-05-11	12
822	2013	2013-01-01	2024-05-11	11
823	2014	2014-01-01	2024-05-11	10
824	2015	2015-01-01	2024-05-11	9
825	2016	2016-01-01	2024-05-11	8
826	2017	2017-01-01	2024-05-11	7
827	2018	2018-01-01	2024-05-11	6
828	2019	2019-01-01	2024-05-11	5
829	2020	2020-01-01	2024-05-11	4
830	1980	1980-01-01	2024-05-11	44
831	1981	1981-01-01	2024-05-11	43
832	1982	1982-01-01	2024-05-11	42
833	1983	1983-01-01	2024-05-11	41
834	1984	1984-01-01	2024-05-11	40
835	1985	1985-01-01	2024-05-11	39
836	1986	1986-01-01	2024-05-11	38
837	1987	1987-01-01	2024-05-11	37
838	1988	1988-01-01	2024-05-11	36
839	1989	1989-01-01	2024-05-11	35
840	1990	1990-01-01	2024-05-11	34
841	1991	1991-01-01	2024-05-11	33
842	1992	1992-01-01	2024-05-11	32
843	1993	1993-01-01	2024-05-11	31
844	1994	1994-01-01	2024-05-11	30
845	1995	1995-01-01	2024-05-11	29
846	1996	1996-01-01	2024-05-11	28
847	1997	1997-01-01	2024-05-11	27
848	1998	1998-01-01	2024-05-11	26
849	1999	1999-01-01	2024-05-11	25
850	2000	2000-01-01	2024-05-11	24
851	2001	2001-01-01	2024-05-11	23
852	2002	2002-01-01	2024-05-11	22
853	2003	2003-01-01	2024-05-11	21
854	2004	2004-01-01	2024-05-11	20
855	2005	2005-01-01	2024-05-11	19
856	2006	2006-01-01	2024-05-11	18
857	2007	2007-01-01	2024-05-11	17
858	2008	2008-01-01	2024-05-11	16
859	2009	2009-01-01	2024-05-11	15
860	2010	2010-01-01	2024-05-11	14
861	2011	2011-01-01	2024-05-11	13
862	2012	2012-01-01	2024-05-11	12
863	2013	2013-01-01	2024-05-11	11
864	2014	2014-01-01	2024-05-11	10
865	2015	2015-01-01	2024-05-11	9
866	2016	2016-01-01	2024-05-11	8
867	2017	2017-01-01	2024-05-11	7
868	2018	2018-01-01	2024-05-11	6
869	2019	2019-01-01	2024-05-11	5
870	2020	2020-01-01	2024-05-11	4
871	1980	1980-01-01	2024-05-11	44
872	1981	1981-01-01	2024-05-11	43
873	1982	1982-01-01	2024-05-11	42
874	1983	1983-01-01	2024-05-11	41
875	1984	1984-01-01	2024-05-11	40
876	1985	1985-01-01	2024-05-11	39
877	1986	1986-01-01	2024-05-11	38
878	1987	1987-01-01	2024-05-11	37
879	1988	1988-01-01	2024-05-11	36
880	1989	1989-01-01	2024-05-11	35
881	1990	1990-01-01	2024-05-11	34
882	1991	1991-01-01	2024-05-11	33
883	1992	1992-01-01	2024-05-11	32
884	1993	1993-01-01	2024-05-11	31
885	1994	1994-01-01	2024-05-11	30
886	1995	1995-01-01	2024-05-11	29
887	1996	1996-01-01	2024-05-11	28
888	1997	1997-01-01	2024-05-11	27
889	1998	1998-01-01	2024-05-11	26
890	1999	1999-01-01	2024-05-11	25
891	2000	2000-01-01	2024-05-11	24
892	2001	2001-01-01	2024-05-11	23
893	2002	2002-01-01	2024-05-11	22
894	2003	2003-01-01	2024-05-11	21
895	2004	2004-01-01	2024-05-11	20
896	2005	2005-01-01	2024-05-11	19
897	2006	2006-01-01	2024-05-11	18
898	2007	2007-01-01	2024-05-11	17
899	2008	2008-01-01	2024-05-11	16
900	2009	2009-01-01	2024-05-11	15
901	2010	2010-01-01	2024-05-11	14
902	2011	2011-01-01	2024-05-11	13
903	2012	2012-01-01	2024-05-11	12
904	2013	2013-01-01	2024-05-11	11
905	2014	2014-01-01	2024-05-11	10
906	2015	2015-01-01	2024-05-11	9
907	2016	2016-01-01	2024-05-11	8
908	2017	2017-01-01	2024-05-11	7
909	2018	2018-01-01	2024-05-11	6
910	2019	2019-01-01	2024-05-11	5
911	2020	2020-01-01	2024-05-11	4
912	1980	1980-01-01	2024-05-11	44
913	1981	1981-01-01	2024-05-11	43
914	1982	1982-01-01	2024-05-11	42
915	1983	1983-01-01	2024-05-11	41
916	1984	1984-01-01	2024-05-11	40
917	1985	1985-01-01	2024-05-11	39
918	1986	1986-01-01	2024-05-11	38
919	1987	1987-01-01	2024-05-11	37
920	1988	1988-01-01	2024-05-11	36
921	1989	1989-01-01	2024-05-11	35
922	1990	1990-01-01	2024-05-11	34
923	1991	1991-01-01	2024-05-11	33
924	1992	1992-01-01	2024-05-11	32
925	1993	1993-01-01	2024-05-11	31
926	1994	1994-01-01	2024-05-11	30
927	1995	1995-01-01	2024-05-11	29
928	1996	1996-01-01	2024-05-11	28
929	1997	1997-01-01	2024-05-11	27
930	1998	1998-01-01	2024-05-11	26
931	1999	1999-01-01	2024-05-11	25
932	2000	2000-01-01	2024-05-11	24
933	2001	2001-01-01	2024-05-11	23
934	2002	2002-01-01	2024-05-11	22
935	2003	2003-01-01	2024-05-11	21
936	2004	2004-01-01	2024-05-11	20
937	2005	2005-01-01	2024-05-11	19
938	2006	2006-01-01	2024-05-11	18
939	2007	2007-01-01	2024-05-11	17
940	2008	2008-01-01	2024-05-11	16
941	2009	2009-01-01	2024-05-11	15
942	2010	2010-01-01	2024-05-11	14
943	2011	2011-01-01	2024-05-11	13
944	2012	2012-01-01	2024-05-11	12
945	2013	2013-01-01	2024-05-11	11
946	2014	2014-01-01	2024-05-11	10
947	2015	2015-01-01	2024-05-11	9
948	2016	2016-01-01	2024-05-11	8
949	2017	2017-01-01	2024-05-11	7
950	2018	2018-01-01	2024-05-11	6
951	2019	2019-01-01	2024-05-11	5
952	2020	2020-01-01	2024-05-11	4
953	1980	1980-01-01	2024-05-11	44
954	1981	1981-01-01	2024-05-11	43
955	1982	1982-01-01	2024-05-11	42
956	1983	1983-01-01	2024-05-11	41
957	1984	1984-01-01	2024-05-11	40
958	1985	1985-01-01	2024-05-11	39
959	1986	1986-01-01	2024-05-11	38
960	1987	1987-01-01	2024-05-11	37
961	1988	1988-01-01	2024-05-11	36
962	1989	1989-01-01	2024-05-11	35
963	1990	1990-01-01	2024-05-11	34
964	1991	1991-01-01	2024-05-11	33
965	1992	1992-01-01	2024-05-11	32
966	1993	1993-01-01	2024-05-11	31
967	1994	1994-01-01	2024-05-11	30
968	1995	1995-01-01	2024-05-11	29
969	1996	1996-01-01	2024-05-11	28
970	1997	1997-01-01	2024-05-11	27
971	1998	1998-01-01	2024-05-11	26
972	1999	1999-01-01	2024-05-11	25
973	2000	2000-01-01	2024-05-11	24
974	2001	2001-01-01	2024-05-11	23
975	2002	2002-01-01	2024-05-11	22
976	2003	2003-01-01	2024-05-11	21
977	2004	2004-01-01	2024-05-11	20
978	2005	2005-01-01	2024-05-11	19
979	2006	2006-01-01	2024-05-11	18
980	2007	2007-01-01	2024-05-11	17
981	2008	2008-01-01	2024-05-11	16
982	2009	2009-01-01	2024-05-11	15
983	2010	2010-01-01	2024-05-11	14
984	2011	2011-01-01	2024-05-11	13
985	2012	2012-01-01	2024-05-11	12
986	2013	2013-01-01	2024-05-11	11
987	2014	2014-01-01	2024-05-11	10
988	2015	2015-01-01	2024-05-11	9
989	2016	2016-01-01	2024-05-11	8
990	2017	2017-01-01	2024-05-11	7
991	2018	2018-01-01	2024-05-11	6
992	2019	2019-01-01	2024-05-11	5
993	2020	2020-01-01	2024-05-11	4
994	1980	1980-01-01	2024-05-11	44
995	1981	1981-01-01	2024-05-11	43
996	1982	1982-01-01	2024-05-11	42
997	1983	1983-01-01	2024-05-11	41
998	1984	1984-01-01	2024-05-11	40
999	1985	1985-01-01	2024-05-11	39
1000	1986	1986-01-01	2024-05-11	38
